Namespace(algo='dqn', batch_size=32, checkpoint_freq=200000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='breakout_dqn/199999.pth', log='log_breakout_dqn.txt', lr=0.0001, niter=200000, nproc=2, parallel_env=0, print_freq=500, replay_size=1000000, save_dir='breakout_dqn/', target_update=2500, train_freq=2, train_start=5000, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
load pretrained model from breakout_dqn/199999.pth
obses on reset: 2 x (4, 84, 84) uint8
iter    500 |loss   0.00 |n_ep     3 |ep_len  170.9 |ep_rew   3.20 |raw_ep_rew    nan |env_step   1000 |time 00:04 rem 29:13
iter  55500 |loss   0.01 |n_ep   624 |ep_len  205.0 |ep_rew   4.89 |raw_ep_rew  35.68 |env_step 111000 |time 14:50 rem 38:37
iter  56000 |loss   0.00 |n_ep   628 |ep_len  189.9 |ep_rew   4.51 |raw_ep_rew  35.68 |env_step 112000 |time 14:58 rem 38:31
iter  56500 |loss   0.01 |n_ep   633 |ep_len  211.1 |ep_rew   5.18 |raw_ep_rew  38.00 |env_step 113000 |time 15:07 rem 38:25
iter  57000 |loss   0.00 |n_ep   638 |ep_len  193.1 |ep_rew   4.66 |raw_ep_rew  37.40 |env_step 114000 |time 15:16 rem 38:18
iter  57500 |loss   0.00 |n_ep   646 |ep_len  164.7 |ep_rew   3.85 |raw_ep_rew  35.80 |env_step 115000 |time 15:25 rem 38:12
iter  58000 |loss   0.00 |n_ep   651 |ep_len  171.8 |ep_rew   3.99 |raw_ep_rew  35.80 |env_step 116000 |time 15:33 rem 38:06
iter  58500 |loss   0.00 |n_ep   654 |ep_len  223.9 |ep_rew   5.26 |raw_ep_rew  37.12 |env_step 117000 |time 15:42 rem 38:00
iter  59000 |loss   0.00 |n_ep   661 |ep_len  179.4 |ep_rew   4.04 |raw_ep_rew  37.91 |env_step 118000 |time 15:51 rem 37:54
iter  59500 |loss   0.00 |n_ep   665 |ep_len  177.8 |ep_rew   4.06 |raw_ep_rew  36.62 |env_step 119000 |time 16:00 rem 37:47
iter  60000 |loss   0.01 |n_ep   671 |ep_len  195.1 |ep_rew   4.59 |raw_ep_rew  37.26 |env_step 120000 |time 16:09 rem 37:41
iter  60500 |loss   0.00 |n_ep   675 |ep_len  205.5 |ep_rew   4.92 |raw_ep_rew  36.64 |env_step 121000 |time 16:18 rem 37:35
iter  61000 |loss   0.00 |n_ep   679 |ep_len  218.9 |ep_rew   5.38 |raw_ep_rew  36.64 |env_step 122000 |time 16:26 rem 37:28
